id,pytanie,ilustracja,odpa,odpb,odpc,odp,uzasadnienie,model
11,Czy zgodnie z zaleceniami CEPT T/R 61-01 i T/R 61-02 posiadacz pozwolenia kategorii 3. może nadawać z terytorium kraju zrzeszonego w CEPT?,,"tak, może","tak, może, ale maksymalnie 90 dni","nie, nie może",b,,
12,"Przez jaki okres czasu może posiadacz międzynarodowego pozwolenia amatorskiego zgodnego z zaleceniem CEPT T/R 61-01 pracować z terytorium innego kraju uznającego to zalecenie, bez konieczności uzyskiwania pozwolenia od miejscowej administracji łączności?",,1 miesiąc,90 dni,1 rok,b,"<p>b. 90 dni</p> <p>Zalecenie CEPT T/R 61-01 dopuszcza pracę z terenów innych krajów, które uznały to zalecenie, przez okres 90 dni bez wymagania dodatkowego pozwolenia.</p>",gpt-4
13,Kto określa maksymalną moc wyjściową stacji amatorskiej podawaną w pozwoleniu?,,międzynarodowy Związek Telekomunikacyjny (ITU),europejskie Biuro Radiokomunikacji (ERO),regulator krajowy,c,"<p>Odpowiedź c. regulator krajowy</p> <p>Oznacza to, że organ odpowiedzialny za regulacje w danym kraju, np. Urząd Komunikacji Elektronicznej w Polsce, decyduje o maksymalnej mocy wyjściowej stacji radiowych. Najczęściej jest to podyktowane lokalnymi regulacjami i może się różnić w różnych krajach. ITU oraz ERO zajmują się bardziej międzynarodowymi regulacjami i standardami, a nie szczegółowymi zasadami dla konkretnych krajów.</p>",gpt-4
14,Jaka organizacja reprezentuje służbę amatorską na forum międzynarodowym?,,międzynarodowy Związek Telekomunikacyjny (ITU),międzynarodowy Związek Radioamatorów (IARU),europejskie Biuro Radiokomunikacji (ERO),b,"<p>Odpowiedź b. Międzynarodowy Związek Radioamatorów (IARU)</p> <p>Międzynarodowy Związek Radioamatorów (IARU) jest organizacją, która reprezentuje interesy radioamatorów na forum międzynarodowym. ITU i ERO są organizacjami międzynarodowymi zajmującymi się szeroko pojętą radiokomunikacją i telekomunikacją, jednak to IARU bezpośrednio skupia radioamatorów i zrzesza krajowe organizacje radioamatorskie. IARU zajmuje się także koordynacją i reprezentowaniem radioamatorów wobec ITU.</p>",gpt-4
15,"Jaki organ krajowy reguluje i kontroluje pracę stacji amatorskich, przeprowadza egzaminy na świadectwa operatora urządzeń radiowych i wydaje pozwolenia w służbie amatorskiej?",,minister właściwy do spraw cyfryzacji,prezes Urzędu Komunikacji Elektronicznej,minister właściwy do spraw wewnętrznych,b,"<p>Odpowiedź to b. prezes Urzędu Komunikacji Elektronicznej. W Polsce to Prezes Urzędu Komunikacji Elektronicznej jest organem odpowiedzialnym za kontrolę i regulację działalności stacji radiowych, przeprowadzanie egzaminów dla operatorów radiowych i wydawanie pozwolenń na działalność w służbie amatorskiej.</p>",gpt-4
16,Jaki podstawowy akt prawny reguluje działalność telekomunikacyjną i radiokomunikacyjną w Polsce?,,statut Urzędu Komunikacji Elektronicznej (UKE),ustawa Prawo ochrony środowiska,ustawa Prawo telekomunikacyjne,c,"<p>Wybieram odpowiedź c. Ustawa &quot;Prawo telekomunikacyjne&quot;. To jest podstawowy akt prawny regulujący działalność telekomunikacyjną i radiokomunikacyjną w Polsce. Zawarte są w nim przepisy dotyczące udostępniania sieci telekomunikacyjnych, warunków świadczenia usług telekomunikacyjnych, praw i obowiązków operatorów telekomunikacyjnych i użytkowników, a także zasady działania Urzędu Komunikacji Elektronicznej.</p>",gpt-4
17,W jakim dokumencie określone są zakresy częstotliwości przeznaczone w Polsce dla służby amatorskiej i służby amatorskiej satelitarnej?,,w ustawie Prawo telekomunikacyjne,w rozporządzeniu Rady Ministrów w sprawie Krajowej Tablicy Przeznaczeń Częstotliwości,w decyzjach Prezesa Urzędu Komunikacji Elektronicznej,b,"<p>b. w rozporządzeniu Rady Ministrów w sprawie Krajowej Tablicy Przeznaczeń Częstotliwości</p> <p>Wybrałem tę odpowiedź, ponieważ Krajowa Tablica Przeznaczeń Częstotliwości to dokument, w którym zawarte są szczegółowe informacje na temat przydziału pasm częstotliwości dla różnych usług i użytkowników, w tym dla służby amatorskiej i służby amatorskiej satelitarnej. Określa ona, które pasma częstotliwości są dostępne dla użytku przez różne usługi, w tym te dostępne dla radiooperatorów amatorskich.</p>",gpt-4
18,"Czy stosowane w Krajowej Tablicy Przeznaczeń Częstotliwości określenie służba pierwszej ważności oznacza, że:",,służba taka jest chroniona przed szkodliwymi zakłóceniami ze strony służb drugiej ważności,"służba taka może żądać ochrony przed szkodliwymi zakłóceniami ze strony stacji tej samej lub innych służb, którym częstotliwości mogą zostać przydzielone w późniejszym terminie","służba taka może żądać ochrony przed szkodliwymi zakłóceniami ze strony stacji tej samej lub innych służb, którym częstotliwości mogą zostać przydzielone w późniejszym terminie, służba taka nie może powodować szkodliwych zakłóceń w pracy stacji służb pierwszej ważności, którym przydzielono częstotliwości lub mogą być przydzielone w późniejszym terminie",c,"<p>Odpowiedź c.</p> <p>Służba pierwszej ważności ma priorytet pod względem ochrony przed szkodliwymi zakłóceniami - zarówno od stacji tej samej służby, jak i innych służb, które mogą być przydzielone w późniejszym czasie. Dodatkowo, służba pierwszej ważności nie może powodować zakłóceń w pracy innych stacji służb pierwszej ważności.</p>",gpt-4
19,"Czy stosowane w Krajowej Tablicy Przeznaczeń Częstotliwości określenie służba drugiej ważności - oznacza, że:",,"służba taka nie może powodować szkodliwych zakłóceń w pracy stacji służb pierwszej ważności, którym przydzielono częstotliwości lub mogą być przydzielone w późniejszym terminie","służba taka nie może powodować szkodliwych zakłóceń w pracy stacji służb pierwszej ważności, którym przydzielono częstotliwości lub mogą być przydzielone w późniejszym terminie; służba taka nie może żądać ochrony przed szkodliwymi zakłóceniami ze strony stacji służb pierwszej ważności; którym przydzielono częstotliwości lub mogą być przydzielone w późniejszym terminie; służba taka może jednak żądać ochrony przed szkodliwymi zakłóceniami ze strony stacji tej samej lub innych służb drugiej ważności, którym częstotliwości mogą być przydzielone w późniejszym terminie","służba taka może żądać ochrony przed szkodliwymi zakłóceniami ze strony stacji tej samej lub innych służb drugiej ważności, którym częstotliwości mogą być przydzielone w późniejszym terminie",b,"<p>Odpowiedź b. Służba drugiej ważności nie może powodować szkodliwych zakłóceń w pracy stacji służb pierwszej ważności i nie może żądać ochrony przed szkodliwymi zakłóceniami ze strony tych stacji. Jednak może żądać ochrony przed szkodliwymi zakłóceniami ze strony innych stacji drugiej ważności. Świadczy to o hierarchii ważności między stacjami, gdzie stacje pierwszej ważności mają priorytet.</p>",gpt-4
20,Jaki dokument określa kategorie pozwoleń w służbie amatorskiej i dozwolone moce wyjściowe stacji amatorskiej?,,ustawa Prawo telekomunikacyjne,rozporządzenie ministra właściwego do spraw cyfryzacji,zarządzenie Prezesa Urzędu Komunikacji Elektronicznej,b,"<p>Odpowiedź b. rozporządzenie ministra właściwego do spraw cyfryzacji</p> <p>Rozporządzenia ministra odpowiadają za szczegółowe zasady i przepisy dotyczące określonej dziedziny, w tym przypadku cyfryzacji. Ustawa Prawo telekomunikacyjne stanowić by mogła ogólny zbiór przepisów dotyczących telekomunikacji, ale niekoniecznie reguluje szczegółowo kwestie takie jak kategorie pozwoleń w służbie amatorskiej czy dozwolone moce wyjściowe stacji amatorskiej. Zarządzenie Prezesa Urzędu Komunikacji Elektronicznej natomiast jest akt prawny niższego rzędu i również nie zawiera zazwyczaj tak szczegółowych zapisów.</p>",gpt-4
21,Do czego upoważnia świadectwo operatora klasy A w służbie radiokomunikacyjnej amatorskiej?,,do uzyskania pozwolenia amatorskiego kategorii 1 oraz kategorii 5,do uzyskania pozwolenia amatorskiego kategorii 3,wyłącznie do pracy na stacji klubowej,a,,
22,Do czego upoważnia świadectwo operatora klasy C w służbie radiokomunikacyjnej amatorskiej?,,do uzyskania pozwolenia amatorskiego kategorii 1,do uzyskania pozwolenia amatorskiego kategorii 3,wyłącznie do pracy na stacji klubowej,b,,
23,Na jaki okres czasu wydawane są indywidualne pozwolenia amatorskie kategorii 1 i 3?,,10 lat,15 lat,dożywotnio,a,"<p>Odpowiedź a. 10 lat</p> <p>Wyjaśnienie: W Polsce, zgodnie z regulacjami UKE (Urząd Komunikacji Elektronicznej), pozwolenia amatorskie klasy 1 i 3 wydawane są na okres 10 lat.</p>",gpt-4
24,Na jaki okres czasu wydawane są pozwolenia amatorskie kategorii 5?,,5 lat,10 lat,15 lat,a,,gpt
25,Jaka jest maksymalna moc wyjściowa stacji amatorskiej w przypadku pozwolenia kategorii 1?,,50 watów,500 watów,250 watów,b,,
26,Jaka jest maksymalna moc wyjściowa stacji amatorskiej w przypadku pozwolenia kategorii 3?,,15 watów,100 watów,150 watów,b,,
27,Jaka jest moc maksymalna wyjściowa stacji amatorskiej w przypadku pozwolenia kategorii 5?,,50 watów dla nadajnika poniżej 30 MHz a 15 watów dla nadajnika powyżej 30 MHz,50 watów,150 watów,a,"<p>Odpowiedź a. 50 watów dla nadajnika poniżej 30 MHz a 15 watów dla nadajnika powyżej 30 MHz</p> <p>Wybrałem tę odpowiedź, ponieważ w częstotliwościach powyżej 30 MHz, moc wyjściowa jest zwykle ograniczana do niższych wartości, aby uniknąć zakłóceń. W przypadku kategorii pozwoleń 5, typowo ograniczenie to jest na poziomie 15 watów. Liczby te mogą się różnić w zależności od regulacji w poszczególnych krajach, ale w kontekście polskiego prawa ta odpowiedź wydaje się być najbardziej prawdopodobna.</p>",gpt-4
28,Jaka jest maksymalna moc wyjściowa radiostacji w przypadku pozwolenia dodatkowego?,,500 watów,1000 watów,1500 watów,c,"<p>Odpowiedź na to pytanie zależy od lokalnego prawodawstwa i przepisów. W Polsce, o której mówi pytanie, maksymalna moc wyjściowa radiostacji w przypadku pozwolenia dodatkowego wynosi 1500 watów. Wybrałem odpowiedź c, ponieważ jest ona zgodna z polskim prawem radiokomunikacyjnym.</p>",gpt-4
29,W jakich zakresach krótkofalowych może pracować operator posiadający pozwolenie kategorii 1?,,3500 - 3800 kHz oraz 7000 - 7300 kHz,7000 - 7100 kHz oraz 28000 - 29900 kHz,we wszystkich zakresach częstotliwości przeznaczonych dla służby radiokomunikacyjnej amatorskiej na terytorium RP,c,"<p>c. we wszystkich zakresach częstotliwości przeznaczonych dla służby radiokomunikacyjnej amatorskiej na terytorium RP</p> <p>Wybrałem tę odpowiedź, ponieważ pozwolenie kategorii 1 jest najwyższą kategorią pozwolenia dla krótkofalarskich operatorów radiowych w Polsce. Daje ono uprawnienia do pracy w pełnym zakresie dostępnym dla krótkofalarskich operatorów radiowych.</p>",gpt-4
30,W jakich zakresach częstotliwości może pracować operator posiadający pozwolenie kategorii 3?,,28000-29900 kHz oraz 144-146 MHz,"1,81-2 MHz; 3,5-3,8 MHz; 7-7,2 MHz; 14-14,35 MHz; 21-21,45 MHz; 28-29,7 MHz, 144-146 MHz; 430-440 MHz oraz 10-10,5 GHz",28000-29900 kHz oraz 430-440 MHz,b,"<p>Odpowiedź b.</p> <p>Operator z pozwoleniem kategorii 3, według polskich przepisów, zyskuje dostęp do zaproponowanych pasm częstotliwości. Częstotliwości te pokrywają się z przedziałami wskazanymi w odpowiedzi B, co obejmuje zarówno zakresy częstotliwości krótko- i ultrakrótkofalowych, jak i mikrofalowe.</p>",gpt-4
31,Jakimi rodzajami emisji radiowych wolno pracować operatorowi w służbie amatorskiej w zakresie częstotliwości 50-52 MHz?,,wyłącznie emisją A1A (telegrafia),wyłącznie emisją F3E (telefonia z modulacją częstotliwości),wszystkimi rodzajami emisji z wyjątkiem F3E,c,"<p>Odpowiedź c. wszystkimi rodzajami emisji z wyjątkiem F3E</p> <p>Wybrałem tę odpowiedź, ponieważ prawo radiokomunikacyjne często pozwala pracować z różnymi rodzajami emisji w określonym paśmie częstotliwości, z wyjątkiem niektórych konkretnych typów emisji, które mogą powodować zakłócenia lub być niezgodne z międzynarodowymi przepisami radiokomunikacyjnymi. W przypadku tego pytania, przepisy wykluczają emisję F3E, która odpowiada telefonii z modulacją częstotliwości.</p>",gpt-4
32,"Jakimi rodzajami emisji radiowych i z jaką mocą wolno pracować operatorowi w służbie amatorskiej w zakresie częstotliwości 135,7-137,8 kHz?",,wyłącznie emisją A1A (telegrafia) z mocą wyjściową 150 watów,wszystkimi rodzajami emisji z mocą wyjściową 250 watów,wyłącznie emisją A1A (telegrafia) z mocą 1 wat e.i.r.p. (równoważna moc promieniowana izotropowo),c,"<p>Odpowiedź c. wyłącznie emisją A1A (telegrafia) z mocą 1 wat e.i.r.p. (równoważna moc promieniowana izotropowo).</p> <p>Zgodnie z regulacjami dotyczącymi radiooperatorów amatorskich, w pasmie 135,7-137,8 kHz można operować jedynie za pomocą emisji A1A (telegrafii) i z maksymalną mocą 1 W e.i.r.p. (równoważną mocą promieniowaną izotropowo). Emisja A1A to telegrafia, w której amplituda jest modulowana, a inne parametry - częstotliwość i faza - są niezmienione. &quot;EiRP&quot; oznacza &quot;equivalent isotropically radiated power&quot;, a jest to miara używana w radiotechnice, aby określić efektywne promieniowanie radiowe z anteny względem anteny izotropowej.</p>",gpt-4
33,Jaki dokument określa klasy świadectw operatora radiowego w służbie amatorskiej i wymagania egzaminacyjne na poszczególne klasy świadectw?,,rozporządzenie ministra właściwego do spraw cyfryzacji,ustawa Prawo telekomunikacyjne,Krajowa Tablica Przeznaczeń Częstotliwości,a,"<p>a. rozporządzenie ministra właściwego do spraw cyfryzacji</p> <p>Wybrałem tę odpowiedź, ponieważ klasy świadectw operatora radiowego i wymagania egzaminacyjne są szczegółowo zdefiniowane w specyficznych przepisach wykonawczych, a nie w ogólnych ustawach takich jak Prawo Telekomunikacyjne. Rozporządzenie ministra właściwego do spraw cyfryzacji jest przykładem takiego szczegółowego przepisu wykonawczego. Krajowa Tablica Przeznaczeń Częstotliwości natomiast określa przeznaczenia poszczególnych częstotliwości, a nie klasy świadectw czy wymagania egzaminacyjne.</p>",gpt-4
34,Jak powinien postąpić operator stacji amatorskiej w razie przypadkowego odebrania wiadomości nie przeznaczonej dla służby amatorskiej?,,rozpowszechnić odebraną wiadomość w internecie,zachować treść wiadomości w ścisłej tajemnicy,"zachować treść wiadomości w ścisłej tajemnicy, zaś w przypadku gdy odebrana wiadomość zawiera istotne dla funkcjonowania Państwa lub porządku publicznego informacje - powiadomić najbliższą jednostkę administracji publicznej",c,"<p>Wybieram odpowiedź c. Operator stacji amatorskiej powinien zachować treść odebranej przypadkowo wiadomości w tajemnicy. Jeżeli jednak wiadomość zawiera informacje istotne dla funkcjonowania Państwa lub porządku publicznego, powinien powiadomić o tym właściwe służby. To nawiązuje do zasady legalności i odpowiedzialności, w myśl której każdy operator powinien przestrzegać przepisów, unikać nadawania informacji mogących naruszyć bezpieczeństwo publiczne, i działać w najlepszym interesie społeczeństwa.</p>",gpt-4
35,Jak często operator stacji amatorskiej powinien podawać podczas łączności znak wywoławczy swej stacji?,,co pół godziny,"tak często, jak jest to w praktyce możliwe, przede wszystkim na początku i końcu łączności",nie musi podawać znaku wywoławczego,b,"<p>Wybrałbym odpowiedź b. &quot;tak często, jak jest to w praktyce możliwe, przede wszystkim na początku i końcu łączności&quot;. Wywołanie znaku wywoławczego to sposób na identyfikację nadawcy w łączności radiowej. Przyjęło się, że operator stacji amatorskiej powinien podawać znak wywoławczy przede wszystkim na początku i końcu łączności, ale również co pewien czas podczas łączności. Pojęcie &quot;tak często, jak jest to w praktyce możliwe&quot; jest ograniczone przez kontekst łączności. Jest to właściwe, ponieważ pozwala innym operatorom na identyfikację stacji, z której nadajemy.</p>",gpt-4
36,Stacja amatorska oznacza:,,urządzenia radiowe nadawcze lub nadawczo-odbiorcze wraz z  systemem albo systemami antenowymi niezbędne do wykonywania w jednej lokalizacji służby radiokomunikacyjnej amatorskiej,"Osobę fizyczną, prawną lub jednostkę organizacyjną nieposiadającą osobowości prawnej, której wydano pozwolenie w służbie radiokomunikacyjnej amatorskiej",Lokalizację w której znajdują się urządzenia radiowe nadawcze lub nadawczo-odbiorcze wraz z  systemem albo systemami antenowymi,a,"<p>Odpowiedź a. Stacja amatorska to urządzenia radiowe nadawcze lub nadawczo-odbiorcze wraz z systemem albo systemami antenowymi niezbędne do wykonywania w jednej lokalizacji służby radiokomunikacyjnej amatorskiej. Wybrałem tę odpowiedź, ponieważ najlepiej oddaje definicję stacji amatorskiej, uwzględniając jej lokalizację i rodzaj służby radiokomunikacyjnej, której dotyczy. Odpowiedź b nie jest poprawna, ponieważ odnosi się do operatora, a nie do stacji, a odpowiedź c pomija aspekt służby radiokomunikacyjnej amatorskiej.</p>",gpt-4
37,"Jaką maksymalną mocą może nadawać amatorska stacja bezobsługowa, pracująca w paśmie 10m?",,100 W,15 W,50 W,c,"<p>Wybieram odpowiedź b. 15 W. Zgodnie z prawnymi ograniczeniami, moc nadawania dla bezobsługowej stacji amatorskiej w paśmie 10 metrów nie może przekroczyć 15 Watt. Ograniczenie to ma na celu zapewnienie, że bezobsługowe stacje niskiej mocy nie zakłócają komunikacji innych operatorów używających tego samego pasma.</p>",gpt-4
38,Czy pozwolenie kategorii 1 może być wydawane fundacjom lub stowarzyszeniom?,,"tak, pozwolenia kategorii 1 mogą być wydawane osobie prawnej, w tym terenowej jednostce organizacyjnej stowarzyszenia posiadającego osobowość prawną, a także stowarzyszeniu zwykłemu","nie, pozwolenia mogą być wydawane jedynie osobom fizycznym ","tak, pozwolenia kategorii 1 mogą być wydawane fundacjom i stowarzyszeniom posiadającym osobowość prawną",a,"<p>Wybieram odpowiedź c. tak, pozwolenia kategorii 1 mogą być wydawane fundacjom i stowarzyszeniom posiadającym osobowość prawną.</p> <p>Wybrałem tę odpowiedź, ponieważ zgodnie z prawem fundacje i stowarzyszenia posiadają osobowość prawną, co oznacza, że mogą nabywać prawa, w tym prawo do korzystania z częstotliwości radiowych, a także zaciągać obowiązki, w tym obowiązek zgodnego z prawem korzystania z tych częstotliwości. Odpowiedź c jest zgodna z tą zasadą.</p>",gpt-4
39,"We wniosku o wydanie pozwolenia radiowego, lokalizację stacji amatorskiej oznaczamy:",,za pomocą adresu ,posługując się QTH Locatorem,"adresem lub, za pomocą współrzędnych geograficznych",c,"<p>Odpowiedź c. Oznaczamy adresem lub, za pomocą współrzędnych geograficznych.</p> <p>W przypadku lokalizacji stacji radiowej, zarówno adres, jak i współrzędne geograficzne mogą być użyte do określenia dokładnej lokalizacji. Adres jest powszechnie używany i łatwo zrozumiały dla większości osób, ale współrzędne geograficzne mogą dostarczyć precyzyjnych informacji o lokalizacji, szczególnie w środowisku naukowym i technicznym. QTH Locator jest również dobrodziejstwem dla operatorów radia amatorskiego, jednak w prawnych i formalnych dokumentach, takich jak wniosek o pozwolenie, lepszym i bezpiecznym wyborem byłoby dostarczyć adres lub współrzędne geograficzne.</p>",gpt-4
40,Czy prowadzenie papierowego dziennika łączności jest obowiązkowe? ,,"tak, obowiązkowe jest prowadzenie dziennika łączności w formie fizycznego dokumentu","nie, obowiązkowy dziennik łączności może być prowadzony także elektronicznie","nie, dziennik łączności nie jest wymagany ",c,"<p>b. nie, obowiązkowy dziennik łączności może być prowadzony także elektronicznie</p> <p>Wybrałem tę odpowiedź, ponieważ prawo nie wymaga koniecznie prowadzenia dziennika łączności w formie fizycznej. Możliwe jest również prowadzenie takiego dziennika w formie elektronicznej, co jest często wygodniejsze i bardziej praktyczne dla użytkowników. Odpowiedź c jest nieprawdziwa, ponieważ dziennik łączności jest dokumentem wymaganym dla każdego operatora radia.</p>",gpt-4
41,Jakie należy spełnić warunki aby uzyskać pozwolenie radiowe na używanie stacji amatorskiej?,,należy posiadać świadectwo operatora urządzeń radiowych i odbyć trzymiesięczną praktykę na stacji klubowej,należy posiadać świadectwo operatora urządzeń radiowych i co najmniej średnie wykształcenie,należy posiadać świadectwo operatora urządzeń radiowych,c,"<p>Odpowiedź c. Należy posiadać świadectwo operatora urządzeń radiowych. Wybrałem tą odpowiedź, ponieważ zgodnie z przepisami prawa polskiego, aby otrzymać pozwolenie radiowe na używanie stacji radiowej, konieczne jest posiadanie odpowiedniego świadectwa. Dodatkowe wymagania, takie jak praktyka na stacji klubowej czy posiadanie co najmniej średniego wykształcenia, nie są wymagane. Jedynym koniecznym warunkiem jest posiadanie świadectwa operatora urządzeń radiowych.</p>",gpt-4
42,Czy razem ze świadectwem operatora urządzeń radiowych przydzielany jest znak wywoławczy dla stacji amatorskiej?,,tak,"nie, znak wywoławczy przydzielany jest w pozwoleniu radiowym","tak, jeżeli dana osoba posiada radiostację",b,"<p>Odpowiedź b. Znak wywoławczy przydzielany jest w pozwoleniu radiowym, a nie razem ze świadectwem operatora urządzeń radiowych. Pozwolenie radiowe jest dokładniejszym dokumentem, który określa specyficzne warunki i uprawnienia operatora, w tym unikalny znak wywoławczy.</p>",gpt-4
