id,pytanie,ilustracja,odpa,odpb,odpc,odp,uzasadnienie,model
11,Czy zwarcie drutem biegunów akumulatora o napięciu 12V może być niebezpieczne?,,nie ma żadnego zagrożenia,"tak, może spowodować pożar lub poparzenie","tak, może spowodować porażenie prądem",b,"<p>b. tak, może spowodować pożar lub poparzenie</p> <p>Zwarcie drutem biegunów akumulatora może prowadzić do generowania dużej ilości ciepła z powodu gwałtownego wzrostu prądu w obwodzie. Ta sytuacja może doprowadzić do pożaru czy poparzenia. Porążenie prądem jest mniej prawdopodobne, bo napięcie 12V jest zbyt niskie, aby spowodować takie ryzyko.</p>",gpt-4
12,Czy kondensator elektrolityczny musi mieć napięcie pracy równe lub większe niż napięcie występujące w układzie w jakim pracuje?,,napięcie pracy kondensatora nie ma znaczenia,"musi, ale tylko w przypadku, gdy są to napięcia stałe","koniecznie, gdyż może ulec zniszczeniu",c,"<p>Odpowiedź: c. koniecznie, gdyż może ulec zniszczeniu</p> <p>Kondensatory elektrolityczne mają określone napięcie pracy, które nie powinno być przekroczone, ponieważ może to prowadzić do ich uszkodzenia. Napięcie pracy kondensatora powinno być zawsze równe lub większe od napięcia, które może wystąpić w układzie, w którym jest używany. Jeśli napięcie przekroczy napięcie pracy kondensatora, może to spowodować wystąpienie przebicia, które zwykle kończy się zniszczeniem kondensatora.</p>",gpt-4
13,Czym grozi dotknięcie uszkodzonego fidera zasilającego antenę na pasmo 2 m mocą 100 W?,,poparzeniem,skurczami mięśni od porażenia prądem,uszkodzeniem nadajnika,,"<p>Odpowiedź b. skurczami mięśni od porażenia prądem</p> <p>Poruszenie uszkodzonego fideru (kabla łączącego nadajnik z anteną) zasilającego antenę na pasmo 2 m mocą 100 W może spowodować porażenie prądem. Wysokie napięcie na fiderze może powodować skurcze mięśni, co jest typowym objawem porażenia prądem. Odpowiedź a) jest nieprawdziwa, ponieważ nie jest prawdopodobne, że poparzenie będzie wynikiem dotknięcia fideru - ciepło generowane przez prąd jest zazwyczaj niewystarczające, aby spowodować poparzenie. Odpowiedź c) jest również nieprawdziwa, ponieważ uszkodzenie nadajnika nie jest bezpośrednim rezultatem dotknięcia fidera.</p>",gpt-4
14,Czy sztuczne obciążenie w postaci rezystora bezindukcyjnego powinno być ekranowane?,,tak,"tak, ale tylko w przypadku użycia dużych mocy",nie,a,"<p>Odpowiedź c. nie</p> <p>Sztuczne obciążenie w postaci rezystora bezindukcyjnego nie powinno być ekranowane. Przede wszystkim, oznacza to, że nie emituje ono żadnych sygnałów, które mogłyby zakłócać inne urządzenia. Ponadto, ekranowanie może powodować niepożądane efekty cieplne, zwiększając temperaturę rezystora i potencjalnie skracając jego żywotność. Na ogół, ekrany są używane w celu ochrony przed zakłóceniami elektromagnetycznymi, jednak w przypadku rezystora bezindukcyjnego, takie zakłócenia nie są problemem.</p>",gpt-4
15,Dlaczego nie należy od razu uruchamiać urządzenia po przeniesieniu z zimnego pomieszczenia do ciepłego?,,nie ma przeciwwskazań,ze względu na możliwość wystąpienia kondensacji pary wodnej,ze względu na możliwość wystąpienia napięcia na kondensatorach,b,"<p>Odpowiedź b. ze względu na możliwość wystąpienia kondensacji pary wodnej.</p> <p>Kiedy przenosimy urządzenie z zimnego do ciepłego pomieszczenia, skok temperatury może spowodować skraplanie się pary wodnej obecnej w powietrzu na jego częściach. Woda jest przewodnikiem prądu, więc jej obecność może spowodować zwarcia, uszkodzenia urządzenia lub nawet niebezpieczne sytuacje, takie jak pożar.</p>",gpt-4
16,Czy plastikowa obudowa urządzenia nadawczego stanowi odpowiednie zabezpieczenie przed oddziaływaniem energii w.cz.?,,jest to wystarczające zabezpieczenie przed energią w.cz.,urządzenia tego używa się głównie na terenowym QTH więc takie zabezpieczenie nie jest potrzebne,nie stanowi żadnego zabezpieczenia przed energią w.cz.,c,"<p>Odpowiedź c. nie stanowi żadnego zabezpieczenia przed energią w.cz.</p> <p>Uzasadnienie: Plastikowa obudowa urządzenia nadawczego nie ma właściwości ochronnych przed elektromagnetycznym polem fal radiowych (w.cz.). Plastik jest materiałem nieprzewodzącym, co oznacza, że nie działa jako ekran ochronny przeciwko polom elektromagnetycznym. W związku z tym, energie te mogą przenikać przez obudowę i wpływać na elektronikę urządzenia.</p>",gpt-4
17,"Czy zasilaczem z oznaczeniem 13,8 V 30 A można zasilać typową radiostację amatorską pobierającą 13,8 V 20 A?",,"nie można, radiostacja może ulec uszkodzeniu",można,"nie można, zasilacz może ulec uszkodzeniu",b,"<p>b. można</p> <p>Zasilacz o napięciu 13,8 V i prądzie 30 A jest w stanie dostarczyć prąd do 30 A. Radioodbiornik pobierający 20 A przy tym samym napięciu 13,8 V, pobierze tylko tyle prądu, ile potrzebuje, czyli 20 A. Więc zasilacz jest więcej niż wystarczający do zasilenia takiego odbiornika. Nie zachodzi ryzyko uszkodzenia ani radiostacji, ani zasilacza.</p>",gpt-4
18,Czy można wykorzystać jako uziemienie rurę instalacji gazowej?,,bezwzględnie nie wolno,wolno bez żadnych ograniczeń,"wolno jedynie w sytuacji, gdy nie dysponuje się innym uziemieniem",a,"<p>a. bezwzględnie nie wolno</p> <p>Wybrałem tę odpowiedź, ponieważ rura instalacji gazowej jest bardzo niebezpieczna aż do uziemienia. Gaz może być łatwo zapalny i eksplozywny, a uziemienie takiej rury może prowadzić prąd, co zwiększa ryzyko iskrzenia i potencjalnej eksplozji. Zasady bezpieczeństwa zdecydowanie odradzają używanie gazowych rur instalacyjnych jako uziemienia.</p>",gpt-4
19,"Jakie działania należy podjąć, aby udzielić pomocy porażonemu prądem elektrycznym?",,"odłączyć porażonego od prądu, podjąć działania w celu wyeliminowania skutków ewentualnych poparzeń","zadbać o własne bezpieczeństwo, odłączyć porażonego od prądu, sprawdzić funkcje życiowe, wezwać lekarza, w razie konieczności przeprowadzać resuscytację krążeniowo-oddechową","zadbać o własne bezpieczeństwo, wezwać znajomych w celu prowadzenia wspólnej akcji ratowniczej",b,"<p>Wybieram odpowiedź b. &quot;zadbać o własne bezpieczeństwo, odłączyć porażonego od prądu, sprawdzić funkcje życiowe, wezwać lekarza, w razie konieczności przeprowadzać resuscytację krążeniowo-oddechową&quot;. Wybierając tę odpowiedź, zwracamy uwagę na wszystkie kluczowe aspekty udzielania pierwszej pomocy, które obejmują zasady bezpieczeństwa, rozpoznanie zagrożenia życia, wezwanie profesjonalnej pomocy medycznej i podjęcie działania, które może pomóc w utrzymaniu funkcji życiowych osoby poszkodowanej. Każda z pozostałych odpowiedzi pomija jeden lub więcej z tych krytycznych elementów.</p>",gpt-4
20,"Urządzenia pod napięciem, które się zapaliły, gasimy:",,wodą,"wodą, ale tylko z użyciem np. wiadra",gaśnicą proszkową,c,"<p>c. gaśnicą proszkową</p> <p>Urządzenia pod napięciem prowadzą prąd, co może prowadzić do niebezpiecznych sytuacji, jeśli zostaną one zgaszone wodą, ze względu na naturalną przewodność wody. Z tego powodu, zgodnie z podstawowymi zasadami BHP, zaleca się używanie gaśnic proszkowych do gaszenia tego typu pożarów, ponieważ proszek z gaśnicy jest materiałem nieprzewodzącym.</p>",gpt-4
21,W Polsce przewód ochronny w instalacji elektrycznej oznaczony jest kolorem:,,niebieskim,brązowym lub czarnym,żółto-zielonym,c,"<p>Odpowiedź c. żółto-zielonym</p> <p>Przewód ochronny w polskiej instalacji elektrycznej, zgodnie z obowiązującymi normami, powinien być oznaczony kombinacją kolorów żółtego i zielonego. Kolor ten daje sygnał o funkcji ochronnej przewodu i służy do bezpiecznego odprowadzania prądu do ziemi w razie awarii urządzeń. Krótko mówiąc, kolor żółto-zielony jest standardowymi kolorem przewodu ochronnego (ziemnego) i ten kolor jest szeroko akceptowany na całym świecie.</p>",gpt-4
22,Narzędzia do prac elektrycznych powinny:,,charakteryzować się estetyką wykonania,posiadać homologację Ministerstwa Łączności,posiadać izolowane uchwyty z nadrukowaną informacją o dopuszczalnym napięciu pracy np. 500 V,c,"<p>Wybieram odpowiedź c. narzędzia do prac elektrycznych powinny posiadać izolowane uchwyty z nadrukowaną informacją o dopuszczalnym napięciu pracy np. 500 V.</p> <p>Takie narzędzia są bezpieczne dla użytkownika, ponieważ izolacja uchwytów zapobiega przepływowi prądu przez ciało operatora. Ponadto, informacja o maksymalnym dopuszczalnym napięciu pracy pozwala unikać zastosowań narzędzia w sytuacjach, które mogłyby być niebezpieczne. Odpowiedź ta ma bezpośrednie odniesienie do bezpieczeństwa pracy, co jest kluczowe w kontekście prac związanych z elektrycznością. Pozostałe odpowiedzi (a i b) nie gwarantują bezpieczeństwa użytkownika.</p>",gpt-4
23,Czy radiostację i urządzenia pomocnicze można podłączać do gniazd zasilanych z dwóch różnych faz?,,"można, nie ma żadnych przeciwwskazań","kategorycznie nie można, grozi to zniszczeniem sprzętu i porażeniem operatora","można, jeżeli jednocześnie nie używa się wszystkich urządzeń",b,"<p>b. kategorycznie nie można, grozi to zniszczeniem sprzętu i porażeniem operatora</p> <p>Wybrałem tę odpowiedź, ponieważ podłączanie urządzeń do gniazd zasilanych z różnych faz może prowadzić do nieprzewidywalnych wahań napięcia, co z kolei może prawdopodobnie uszkodzić sprzęt. Ponadto, może to stworzyć potencjalne ryzyko porażenia elektrycznego dla operatora, jeśli prąd przepływa poprzez nieodpowiedni punkt styku między różnymi fazami. Bezpieczeństwo powinno być zawsze priorytetem przy obsłudze takich urządzeń.</p>",gpt-4
24,Jaka powinna być rezystancja uziemienia radiostacji?,,50 Ω,zależnie od kabla antenowego: 50 lub 75 Ω,poniżej 10 Ω,c,"<p>Odpowiedź c. poniżej 10 Ω</p> <p>Rezystancja uziemienia radiostacji powinna być jak najniższa, aby zapewnić skuteczne uziemienie i bezpieczeństwo. Takie niskie wartości rezystancji uziemienia zapewniają właściwą ochronę przed porażeniem prądem, efektywne wykonanie uziemienia w przypadku przepięć i ograniczenie poziomu szumów i interferencji radiowych.</p>",gpt-4
25,W momencie stwierdzenia pożaru urządzenia należy:,,zadzwonić po straż pożarną,wezwać kolegów i wspólnie przystąpić do gaszenia,"odłączyć zasilanie i przystąpić do gaszenia, w razie potrzeby wezwać straż pożarną",c,"<p>Odpowiedź c. odłączyć zasilanie i przystąpić do gaszenia, w razie potrzeby wezwać straż pożarną</p> <p>Egzaminacyjne pytanie dotyczy bezpieczeństwa i pierwszych kroków do podjęcia w razie pożaru. Kluczowym elementem jest odłączenie zasilania, ponieważ przeciwdziała to dalszemu rozprzestrzenianiu się ognia przez urządzenia elektryczne. Drugi krok to próba gaszenia ognia przy użyciu dostępnych środków (jeżeli jest to bezpieczne i realne). Wezwanie straży pożarnej jest ostatnim krokiem, jeśli nie można ugasić ognia indywidualnie lub jeśli stanowi on poważne zagrożenie. Bezpieczeństwo ludzi jest priorytetem.</p>",gpt-4
26,"Transformator ochronny stosujemy, gdy:",,"zachodzi obawa, że użycie narzędzi elektrycznych zasilanych napięciem 230 V może spowodować porażenie prądem, np. pracując na zewnątrz pomieszczeń",wykonujemy prace w wilgotnym pomieszczeniu,"jak w punkcie A i B i w innych sytuacjach, jeżeli zachodzi niebezpieczeństwo porażenia prądem np. przy pracach naprawczych",c,"<p>Wybieram odpowiedź c. Transformator ochronny może być używany nie tylko w przypadkach opisanych w punktach a. i b., ale wszędzie tam, gdzie istnieje niebezpieczeństwo porażenia prądem. To obejmuje również sytuacje, takie jak prace naprawcze, gdzie ryzyko jest zwiększone. Transformator ochronny służy do izolacji energetycznej i obniżenia napięcia, co zmniejsza ryzyko wypadków elektrycznych.</p>",gpt-4
27,W przypadku zaprószenia oka ciałem obcym należy:,,odczekać aż ciało obce samo wypadnie,usunąć ciało obce samodzielnie za pomocą pęsety,"spróbować usunąć obce ciało, przemywając oko wodą, a jeżeli się to nie uda skorzystać z pomocy lekarza",c,"<p>Odpowiedź c. spróbować usunąć obce ciało, przemywając oko wodą, a jeżeli się to nie uda skorzystać z pomocy lekarza</p> <p>W przypadku zaprószenia oka ciałem obcym, bezpiecznym rozwiązaniem jest przemyć oko wodą w celu usunięcia ciała obcego. Jeśli to nie przyniesie rezultatu, powinno się skonsultować z lekarzem, który ma odpowiednie umiejętności i narzędzia do bezpiecznego usunięcia ciała obcego z oka. Usiłowanie usunięcia go samodzielnie za pomocą pęsety (odpowiedź b) jest niebezpieczne i może prowadzić do uszkodzenia oka. Odczekiwanie aż samo wypadnie (odpowiedź a) może prowadzić do dalszych komplikacji, takich jak zapalenie oka i uszkodzenia narządu wzroku.</p>",gpt-4
28,Mierząc miernikiem napięcie o niemożliwej do oszacowania wartości należy:,,ustawić miernik na najwyższy zakres pomiarowy i stopniowo zmniejszać zakres,ustawić miernik na najniższy zakres pomiarowy i stopniowo zwiększać zakres,rozpocząć pomiary od środkowego zakresu miernika,a,"<p>Odpowiedź a. ustawić miernik na najwyższy zakres pomiarowy i stopniowo zmniejszać zakres</p> <p>To jest prawidłowe podejście, kiedy nie jesteśmy pewni, jakie jest napięcie, które chcemy zmierzyć. Początkowo ustawienie miernika na najwyższy zakres pomiarowy zapewnia, że nie zniszczymy go przez przeciążenie. Następnie, gdy mamy pewność, że napięcie jest bezpieczne, możemy stopniowo zmniejszać zakres, aby uzyskać bardziej precyzyjny odczyt. To jest standardowym podejściem stosowanym w elektrotechnice, aby zapewnić bezpieczeństwo urządzenia i operatora.</p>",gpt-4
29,"Przygotowując się do wykonania prac pod napięciem, oprócz przygotowania odpowiednich przyrządów należy:",,sprawdzić czy zastosowano prawidłowe bezpieczniki w mierzonych obwodach,przygotować schemat elektryczny urządzenia i zapoznać się z nim,jak w punkcie A i B oraz zapewnić sobie obecność i ewentualną pomoc drugiej osoby,c,"<p>Wybieram opcję c. Sprawdzenie czy zastosowano prawidłowe bezpieczniki w mierzonych obwodach oraz przygotowanie schematu elektrycznego urządzenia i zapoznanie się z nim, to podstawowe kroki przy przygotowaniu do pracy pod napięciem. Dodatkowo, obecność drugiej osoby może zwiększyć bezpieczeństwo, zwłaszcza w przypadku awarii lub nieszczęśliwych wypadków - zasada &quot;dwóch par oczu widzi więcej&quot; nie jest bez znaczenia, a asystent może pomóc w przypadku niespodziewanych problemów. Bezpieczeństwo powinno być zawsze na pierwszym miejscu.</p>",gpt-4
30,"Czy w przypadku przepalenia bezpiecznika topikowego, gdy nie mamy pod ręką nowego bezpiecznika, można zastąpić go drutem miedzianym?",,"tak, jeśli w krótkim czasie zostanie wstawiony nowy bezpiecznik",bezwzględnie nie wolno,"tak, jeśli drut jest o grubości takiej, jak włókno w spalonym bezpieczniku",b,"<p>b. bezwzględnie nie wolno</p> <p>Stosowanie drutu miedzianego zamiast bezpiecznika jest bardzo niebezpieczne. Bezpiecznik to urządzenie zaprojektowane tak, aby przepalić się i przestać przewodzić prąd, gdy prąd przekroczy określony próg - to jest jego główna rola w zapewnianiu bezpieczeństwa. Gdy drut miedziany jest używany zamiast bezpiecznika, prąd może przepływać bez ograniczeń, co może prowadzić do przegrzania przewodów i może potencjalnie powodować pożar.</p>",gpt-4
31,Radiotelefon przenośny UKF podczas nadawania należy trzymać:,,jak najbliżej ciała,jedną ręką za antenę w celu zwiększenia zasięgu,mikrofonem skierowanym w stronę ust i anteną skierowaną ponad głowę,c,"<p>Odpowiedź c. mikrofonem skierowanym w stronę ust i anteną skierowaną ponad głowę</p> <p>Radiotelefon przenośny UKF powinien być trzymany w taki sposób, aby jego antena mogła swobodnie emitować i odbierać sygnały, co oznacza, że powinna być skierowana ku górze. Mikrofon powinien być skierowany w stronę użytkownika, aby umożliwić jasne i wyraźne przeprowadzanie rozmów. Ściśnięcie anteny mogłoby zaszkodzić zarówno jej wydajności, jak i użytkownikowi poprzez potencjalne porażenie prądem.</p>",gpt-4
32,Przy wymianie lampy stopnia mocy nadajnika należy:,,wyłączyć zasilanie i natychmiast przystąpić do wymiany,wyłączyć zasilanie i poczekać aż rozładują się kondensatory zasilacza,przy pracującym wzmacniaczu zdjąć osłonę lampy i przystąpić do jej wymiany,b,"<p>Wybieram odpowiedź b. Powodem jest to, że lampy stopnia mocy są elementami elektronicznymi, które mogą zasysać i magazynować energię. Zasada bezpieczeństwa mówi, że zawsze należy wyłączyć zasilanie i poczekać, aż wszelkie pozostałości prądu (magazynowane w kondensatorach) zostaną rozładowane przed rozpoczęciem jakiejkolwiek pracy związanej ze sprzętem elektronicznym. To chroni zarówno użytkownika, jak i sprzęt przed ewentualnym uszkodzeniem.</p>",gpt-4
33,Najlepszą formą zabezpieczenia anteny krótkofalowej przed burzą jest:,,odłączenie anteny od radiostacji i wystawienie kabla anteny za okno,odłączenie anteny od radiostacji i połączenie anteny z uziemieniem,nie są wymagane żadne działania,b,"<p>Odpowiedź b. Odłączenie anteny od radiostacji i połączenie anteny z uziemieniem.</p> <p>Podczas burzy atmosfera niebezpiecznie jest naładowana energią elektryczną, która może wpłynąć na sprzęt elektroniczny, zwłaszcza na anteny radiowe. Odłączenie anteny od radiostacji i połączenie jej z uziemieniem pomaga uniknąć uszkodzeń sprzętu, ponieważ prąd spowodowany przez uderzenie pioruna jest przekierowywany bezpośrednio do ziemi, zamiast przechodzić przez urządzenia elektroniczne.</p>",gpt-4
34,"Czy można umieścić kabel antenowy w kanale wywietrznika kominowego, jeżeli obok przebiega czynny komin?",,można,bezwzględnie nie można,"można, ale tylko w okresie poza sezonem grzewczym",b,"<p>b. bezwzględnie nie można</p> <p>Umieszczanie kabla antenowego w kanale wywietrznika kominowego, jeżeli obok przebiega czynny komin, nie jest zalecane. Komin może generować ciepło, które wpływa na poprawne działanie i trwałość kabla. Ponadto obecność kabla w kanale kominowym może stanowić zagrożenie pożarowe. Bezpieczeństwo powinno być zawsze na pierwszym miejscu.</p>",gpt-4
35,Czy można używać kołków rozporowych do montażu anteny na kominie?,,można,"można, po spełnieniu dodatkowych warunków","nie wolno, można stosować jedynie opaski wokół komina",c,"<p>b. można, po spełnieniu dodatkowych warunków</p> <p>Wybrałem tę odpowiedź, ponieważ umocowanie anteny na kominie za pomocą kołków rozporowych jest możliwe, ale muszą być spełnione pewne warunki. Na przykład, komin musi być w stanie wytrzymać dodatkowy ciężar i siły wywołane przez antenę, a kołki rozporowe muszą być odpowiednio dobrane do materiału, z którego zbudowany jest komin. Bez spełnienia tych dodatkowych warunków montaż anteny za pomocą kołków rozporowych może zaszkodzić zarówno kominiowi, jak i samej antenie.</p>",gpt-4
36,Podczas regulacji urządzeń pod napięciem (o ile jest to konieczne) pracę wykonujemy:,,dwoma rękoma,jedną ręką,"jedną ręką w asyście drugiej osoby, wskazane jest również stosowanie chodnika lub obuwia izolacyjnego",c,"<p>Odpowiedź b. jedną ręką</p> <p>Tej odpowiedzi używamy, ponieważ jest to najbezpieczniejszy sposób pracy z urządzeniami pod napięciem. Praca jedną ręką minimalizuje ryzyko przejścia prądu przez ciało, co mogłoby się zdarzyć, gdyby obie ręce były w kontakcie z urządzeniem.</p>",gpt-4
37,Jakim przewodem podłączysz nadajnik dużej mocy do źródła zasilania?,,zwykłym przewodem dwużyłowym,kablem w oplocie bawełnianym,"przewodem o przekroju żył, odpowiednim do pobieranej przez urządzenie mocy",c,"<p>Odpowiedź c. Przewodem o przekroju żył, odpowiednim do pobieranej przez urządzenie mocy</p> <p>Wybrałem tę odpowiedź, ponieważ przewód o odpowiednim przekroju żył jest zdolny bezpiecznie przesyłać żądaną moc. Zbyt mały przekrój przewodu może prowadzić do przegrzewania i potencjalnie awarii, kabel w oplocie bawełnianym nie jest odpowiedni ze względu na niebezpieczeństwo pożaru. Przewód dwużyłowy również nie jest odpowiedni, bez określenia jego przekroju.</p>",gpt-4
38,Uszkodzenie ekranu fidera antenowego może prowadzić do:,,nie prowadzi do żadnych negatywnych skutków,"wzrostu zakłóceń, bez względu na pogodę",wzrostu zakłóceń i zmian impedancji kabla grożąca uszkodzeniem nadajnika,c,"<p>Odpowiedź c. wzrostu zakłóceń i zmian impedancji kabla grożąca uszkodzeniem nadajnika.</p> <p>Fider antenowy, czyli kabel antenowy, jest zbudowany z dwóch przewodów: jednego który przewodzi sygnał (żyła) i drugiego, który go ekranuje (ekran). W razie uszkodzenia ekranu fidera, zakłócenia z otoczenia mogą przenikać bezpośrednio do żyły, co może prowadzić do wzrostu zakłóceń sygnału radiowego. Dodatkowo, uszkodzenie ekranu może zmienić impedancję kabla, co może prowadzić do niewłaściwego dopasowania z nadajnikiem i ostatecznie do jego uszkodzenia.</p>",gpt-4
39,Jak oznacza się odpowiednio - przewód neutralny (N) oraz ochronno-uziemiający (PE) w instalacji elektrycznej?,,"czerwony, czarny","niebieski, żółto-zielony","żółto-zielony, brązowy",a,"<p>Odpowiedź b. Niebieski, Żółto-zielony. W standardowych oznaczeniach kolorystycznych przewodów w instalacji elektrycznej, przewód neutralny (N) oznacza się kolorem niebieskim, a ochronno-uziemiający (PE) - żółto-zielonym.</p>",gpt-4
