id,pytanie,ilustracja,odpa,odpb,odpc,odp,uzasadnienie,model
48,"Jeśli zasilacz impulsowy powoduje zakłócenia na częstotliwości 14,250 MHz to która z poniższych metod redukcji zakłóceń nie będzie skuteczna?",,poprawne uziemienie zasilacza,delikatna zmiana częstotliwości kluczowania przetwornicy zasilacza,ustawienie pod innym kątem do odbiornika,,"<p>Aby zidentyfikować metodę redukcji zakłóceń, która nie będzie skuteczna w przypadku zakłóceń generowanych przez zasilacz impulsowy na częstotliwości 14,250 MHz, musimy rozważyć, jakie efekty mogą mieć poszczególne metody:</p> <p>a. Poprawne uziemienie zasilacza: Poprawne uziemienie może pomóc w redukcji zakłóceń poprzez zapewnienie prawidłowego przepływu prądu do ziemi i zmniejszenie potencjału powstawania pętli EMC (elektromagnetycznej kompatybilności). Jest to ważna metoda redukcji zakłóceń.</p> <p>b. Delikatna zmiana częstotliwości kluczowania przetwornicy zasilacza: Zmiana częstotliwości kluczowania przetwornicy zasilacza może zmienić spektrum zakłóceń generowanych przez zasilacz. Jeśli częstotliwość ta jest zbliżona do częstotliwości odbiornika, zmiana częstotliwości może pomóc w redukcji zakłóceń.</p> <p>c. Ustawienie pod innym kątem do odbiornika: Zmiana kąta ustawienia zasilacza do odbiornika może wpływać na poziom odebranych zakłóceń. Ustawienie pod innym kątem może pomóc w redukcji zakłóceń poprzez zmniejszenie bezpośredniego wpływu promieniowania elektromagnetycznego z zasilacza na odbiornik.</p> <p>Na podstawie powyższego, metoda redukcji zakłóceń, która nie będzie skuteczna w przypadku zakłóceń generowanych przez zasilacz impulsowy na częstotliwości 14,250 MHz, to:</p> <p>c. Ustawienie pod innym kątem do odbiornika</p> <p>Ponieważ zmiana kąta ustawienia nie jest najskuteczniejszym sposobem redukcji zakłóceń w przypadku zasilacza impulsowego, który generuje zakłócenia na określonej częstotliwości. Poprawne uziemienie zasilacza i delikatna zmiana częstotliwości kluczowania przetwornicy zasilacza są bardziej skutecznymi metodami w takim przypadku.</p>",gpt-3.5-turbo-0125
49,Element aktywny we wzmacniaczu przewodzi przez cały okres wzmacnianego sygnału. Wzmacniacz ten pracuje w klasie:,,A,B,C,,"<p>Element aktywny, który przewodzi przez cały okres wzmacnianego sygnału, pracuje w klasie A wzmacniacza. W klasie A wzmacniacza elementy aktywne są stale włączone, a prąd płynie przez nie podczas całego okresu sygnału wejściowego. Dlatego odpowiedź na to pytanie to: a. A</p>",gpt-3.5-turbo-0125
50,W jakim celu używana jest automatyczna kontrola poziomu (ALC) we wzmacniaczu mocy RF?,,aby zrównoważyć charakterystykę częstotliwościową nadajnika,aby zredukować promieniowanie harmonicznych,aby zmniejszyć zniekształcenia spowodowane nadmiernym wysterowaniem,,<p>Automatyczna kontrola poziomu (ALC) używana jest w wzmacniaczu mocy RF głównie w celu zmniejszenia zniekształceń spowodowanych nadmiernym wysterowaniem. Wybieram odpowiedź:</p> <p>c. aby zmniejszyć zniekształcenia spowodowane nadmiernym wysterowaniem</p>,gpt-3.5-turbo-0125
51,Efektem mieszania dwóch sygnałów o częstotliwościach: 5 MHz i 2 MHz jest:,,sygnał o częstotliwości 3 MHz,sygnał o częstotliwości 7 MHz,dwa sygnały o częstotliwości 3 MHz i 7 MHz,c,"<p>Efektem mieszania dwóch sygnałów o częstotliwościach \(f_1\) i \(f_2\) jest powstanie nowych składowych częstotliwości w postaci sumy i różnicy częstotliwości oryginalnych sygnałów.</p> <p>Dla sygnałów o częstotliwościach 5 MHz i 2 MHz, efektem mieszania będzie powstanie trzech nowych sygnałów o częstotliwościach:</p> <ul> <li>różnicy częstotliwości: \(|5 - 2| = 3\) MHz,</li> <li>sumy częstotliwości: \(5 + 2 = 7\) MHz,</li> <li>dwie oryginalne częstotliwości: 2 MHz i 5 MHz.</li> </ul> <p>Zatem poprawną odpowiedzią jest: c. dwa sygnały o częstotliwości 3 MHz i 7 MHz.</p>",gpt-3.5-turbo-0125
52,"Który termin opisuje zdolność odbiornika do wyodrębnienia spośród różnych sygnałów doprowadzonych do wejścia odbiornika tylko sygnału o takiej częstotliwości, na którą jest nastrojony:",,współczynnik dyskryminacji,czułość,selektywność,c,"<p>Termin opisujący zdolność odbiornika do wyodrębnienia spośród różnych sygnałów doprowadzonych do wejścia odbiornika tylko sygnału o takiej częstotliwości, na którą jest nastrojony, to:</p> <p>c. selektywność</p> <p>Selektywność odbiornika określa właśnie zdolność odbiornika do odbierania sygnałów o konkretnej częstotliwości, ignorując sygnały o innych częstotliwościach. Współczynnik dyskryminacji odnosi się do zdolności odbiornika do rozróżniania i odrzucania zakłóceń, a czułość opisuje minimalną siłę sygnału, którą odbiornik jest w stanie odbierać.</p>",gpt-3.5-turbo-0125
53,"Pewien ręczny radiotelefon VHF/UHF pozbawiony jest filtrów pasmowych w torze wejściowym. Podczas aktywacji jednego ze szczytów w ramach programu SOTA okazało się, że nie można odebrać sygnałów korespondentów, pomimo wykorzystania dobrej anteny dookólnej. Czym może być spowodowane to zjawisko?",,rozpraszaniem sygnału na śladach jonizacyjnych meteorów (meteor scatter),zmniejszeniem czułości odbiornika przez mocny sygnał nadajnika rozgłośni radiowej na sąsiedniej górze,silnymi podmuchami wiatru,b,"<p>Poprawną odpowiedzią jest:</p> <p>b. zmniejszeniem czułości odbiornika przez mocny sygnał nadajnika rozgłośni radiowej na sąsiedniej górze</p> <p>Brak filtrów pasmowych w torze wejściowym radia może skutkować nadmiernym nasyceniem odbiornika silnymi sygnałami, co z kolei może zmniejszyć jego czułość i sprawić, że sygnały od innych korespondentów nie będą odbierane poprawnie. Silny sygnał nadajnika radiowego na sąsiedniej górze może być przyczyną tego problemu.</p>",gpt-3.5-turbo-0125
54,W odbiorniku superheterodynowym szumy fazowe oscylatora lokalnego mają wpływ na:,,pogorszenie stosunku sygnału do szumu,pływanie odbieranego sygnału telegraficznego,zmniejszenie sygnału audio,,"<p>Odpowiedź na to pytanie znajduje się w podręczniku do nauki na Polskiego radiooperatora. Otwórzmy ten plik i znajdźmy odpowiedź na zadane pytanie. Uruchomię narzędzie do przeglądania plików, aby znaleźć odpowiednie informacje.</p>",gpt-3.5-turbo-0125
55,"Czy antena typu delta, o długości promiennika ~41 m będzie poprawnie działała w paśmie 20 m?",,"nIe, to jest antena jednopasmowa","tak, antena typu delta stroi się na kolejnych harmonicznych","tak, ale tylko jako odbiorcza",,"<p>Antena typu delta charakteryzuje się szerokim pasmem pracy, co oznacza, że jest w stanie działac na kilku pasmach częstotliwościowych. Długość promiennika około 41 metrów sugeruje, że może być to antena delta pracująca na pasmo 80 metrów.</p> <p>Odpowiedź b. &quot;tak, antena typu delta stroi się na kolejnych harmonicznych&quot; jest najbardziej prawdopodobną, ponieważ antena delta może działać na wielu harmonicznych pierwotnej częstotliwości. Harmoniczne to wielokrotności częstotliwości podstawowej, więc antena delta mogłaby działać również na kolejnych harmonicznych pasma 80 metrów, a więc również w paśmie 20 metrów. Symbolicznie, kolejna harmoniczna 1/4 fali dla 80 metrów (3.5 MHz) to 20 metrów (14 MHz), co potwierdza możliwość poprawnego działania anteny delta na tym paśmie.</p>",gpt-3.5-turbo-0125
56,Co stanie się kiedy nasz korespondent w paśmie 70 cm używa anteny o odmiennej polaryzacji niż nasza?,,wstęgi boczne modulacji mogą zostać odwrócone,sygnały mogą być znacznie słabsze,słyszymy efekt echa na sygnale,b,"<p>Aby odpowiedzieć poprawnie na to pytanie, musimy rozumieć, jak polaryzacja anteny wpływa na transmisję radiową. Jeśli nasz korespondent używa anteny o odmiennej polaryzacji niż nasza, to może to prowadzić do zjawiska zwanej depolaryzacją, co oznacza, że sygnał będzie znacznie słabszy lub nie będzie odebrany w ogóle.</p> <p>Dlatego poprawną odpowiedzią jest: b. sygnały mogą być znacznie słabsze</p>",gpt-3.5-turbo-0125
57,Co oznacza pojęcie „stosunek przód-tył” w odniesieniu do anteny Yagi-Uda?,,stosunek liczby direktorów do reflektorów,stosunek mocy wypromieniowanej w kierunku głównego listka promieniowania do kierunku przeciwnego,stosunek mocy wypromieniowanej w przód anteny do dipola półfalowego,b,"<p>Stosunek przód-tył to parametr charakteryzujący antenę Yagi-Uda, określający stosunek mocy wypromieniowanej w kierunku głównego promienia do mocy wypromieniowanej w kierunku przeciwnym. Odpowiedzią jest: b. stosunek mocy wypromieniowanej w kierunku głównego listka promieniowania do kierunku przeciwnego</p>",gpt-3.5-turbo-0125
58,Współczynnik skrócenia kabla koncentrycznego to,,stosunek prędkości rozchodzenia się fali w kablu do prędkości rozchodzenia w próżni,stosunek długości kabla do jego średnicy,parametr charakteryzujący odporność kabla na promieniowanie UV,,<p>Współczynnik skrócenia kabla koncentrycznego to stosunek prędkości rozchodzenia się fali w kablu do prędkości rozchodzenia w próżni. Dlatego poprawna odpowiedź to:</p> <p>a. stosunek prędkości rozchodzenia się fali w kablu do prędkości rozchodzenia w próżni</p>,gpt-3.5-turbo-0125
59,Jakie znaczenie ma liczba plam słonecznych w odniesieniu do propagacji KF?,,wyższa liczba plam słonecznych generalnie wskazuje na większe prawdopodobieństwo dobrej propagacji na wyższych częstotliwościach,niższa liczba plam słonecznych ogólnie wskazuje na większe prawdopodobieństwo wystąpienia sporadycznej propagacji przez warstwę E.,"zerowa liczba plam słonecznych oznacza, że propagacja radiowa nie jest możliwa w żadnym paśmie",a,"<p>Liczba plam słonecznych ma związek z aktywnością słoneczną, która może wpływać na propagację fal radiowych na różnych pasmach. Odpowiedź a. jest prawdziwa. Wyższa liczba plam słonecznych może wskazywać na większe prawdopodobieństwo dobrej propagacji na wyższych częstotliwościach. Aktywność słoneczna może wpływać na jonosferę, co z kolei może wpływać na propagację fal radiowych, szczególnie na pasmach krótkofalarskich. Stąd najlepszą odpowiedzią jest: a. wyższa liczba plam słonecznych generalnie wskazuje na większe prawdopodobieństwo dobrej propagacji na wyższych częstotliwościach</p>",gpt-3.5-turbo-0125
60,Co oznacza skrót MUF?,,minimalna użyteczna częstotliwość dla komunikacji między dwoma punktami,maksymalna użyteczna częstotliwość do komunikacji między dwoma punktami,minimalna użyteczna częstotliwość na następne 24 godziny,,"<p>Poprawną odpowiedzią jest:</p> <p>a. minimalna użyteczna częstotliwość dla komunikacji między dwoma punktami</p> <p>Skrót MUF (Maximum Usable Frequency) oznacza maksymalną częstotliwość użyteczną do komunikacji radiowej między dwoma punktami, czyli najwyższą częstotliwość, na której fale radiowe mogą być jeszcze odbierane w sposób użyteczny między nadawcą a odbiorcą.</p>",gpt-3.5-turbo-0125
61,"Ile mocy zostaje wypromieniowane przez antenę, jeśli miernik mocy podłączony pomiędzy nadajnik a antenę  wskazuje 100 W mocy padającej i 30 W mocy odbitej?",,130 W,70 W,30 W,,"<p>Moc wypromieniowana przez antenę jest sumą mocy padającej i mocy odbitej zgodnie z zasadą zachowania mocy. Możemy obliczyć moc wypromieniowaną przez antenę odejmując moc odbitą od mocy padającej.</p> <p>Zatem, moc wypromieniowana przez antenę = Moc padająca - Moc odbita</p> <p>Wartości podane w pytaniu to:</p> <ul> <li>Moc padająca = 100 W</li> <li>Moc odbita = 30 W</li> </ul> <p>Po podstawieniu wartości do wzoru otrzymamy wynik.</p> <pre><code class=""language-python"">moc_padajaca = 100<br />moc_odbita = 30<br /><br />moc_wypromieniowana = moc_padajaca - moc_odbita<br />moc_wypromieniowana </code></pre> <pre><code class=""language-python"">70 </code></pre> <p>Wynik obliczeń to 70 W, co oznacza, że moc wypromieniowana przez antenę wynosi 70 W.</p> <p>Zatem poprawna odpowiedź to: b. 70 W</p>",gpt-3.5-turbo-0125
62,Jaka jest przewaga wektorowego analizatora antenowego (VNA) nad miernikiem SWR (reflektometrem)?,,miernik SWR wymaga określonej częstotliwości do działania,analizator nie potrzebuje dodatkowego zasilania zasilając się z sygnału w.cz z nadajnika,analizator jest w stanie wykazać składową indukcyjną lub pojemnościową badanej anteny oraz określić miejsce rezonansu,c,"<p>Odpowiedź c jest poprawna. Przewaga wektorowego analizatora antenowego (VNA) nad miernikiem SWR (reflektometrem) polega na tym, że VNA jest w stanie wykazać składową indukcyjną lub pojemnościową badanej anteny, oraz określić jej miejsce rezonansu. Dzięki temu VNA umożliwia bardziej zaawansowaną analizę anten, w przeciwieństwie do miernika SWR, który jedynie mierzy stosunek dostrajania odwrotnego (SWR) anteny przy określonej częstotliwości.</p>",gpt-3.5-turbo-0125
63,Który parametr ma największy wpływ na dokładność miernika częstotliwości?,,dokładność tłumika wejściowego,dokładność generatora wzorcowego,dokładność kalibracji dzielnika częstotliwości,b,"<p>b. dokładność generatora wzorcowego</p> <p>Miernik częstotliwości działa na zasadzie porównywania pomiarowej częstotliwości z częstotliwością generowaną przez generator wzorcowy. Dlatego wszystko sprowadza się do dokładności tego generatora. Jeśli generator wzorcowy jest niedokładny, to pomiar także będzie niedokładny, niezależnie od dokładności innych elementów układu pomiarowego.</p>",gpt-4
64,Co jest dobrą praktyką przy pomiarach obwodów wielkiej częstotliwości za pomocą oscyloskopu?,,utrzymanie jak najkrótszego połączenia uziemienia sondy,nieużywanie sprzężenia stałoprądowego do pomiarów sygnałów przemiennych,ustawianie oscyloskopu na najkrótszą podstawę czasu jak to tylko możliwe,,"<p>Poprawną odpowiedzią jest:</p> <p>b. nieużywanie sprzężenia stałoprądowego do pomiarów sygnałów przemiennych</p> <p>Dobra praktyka przy pomiarach obwodów wielkiej częstotliwości za pomocą oscyloskopu to unikanie używania sprzężenia stałoprądowego do pomiarów sygnałów przemiennych, co jest związane z charakterystyką obwodów wysokoczęstotliwościowych. Uziemienie sondy również powinno być jak najkrótsze, ale bardziej istotne jest unikanie sprzężenia stałoprądowego. Ustawienie oscyloskopu na najkrótszą podstawę czasową nie jest zawsze konieczne ani zalecane, dlatego ta odpowiedź nie jest właściwa.</p>",gpt-3.5-turbo-0125
65,"Proces, który zachodzi w nieliniowym elemencie lub układzie elektronicznym, kiedy składowe widma sygnału oddziałują na siebie tworząc fałszywe sygnały to:",,demodulacja,tłumienie,intermodulacja,c,"<p>Odpowiedź to: c. intermodulacja</p> <p>Intermodulacja to proces, w którym składowe widma sygnału oddziałują na siebie, tworząc fałszywe sygnały. Jest to często niepożądany efekt występujący w nieliniowych elementach lub układach elektronicznych.</p>",gpt-3.5-turbo-0125
66,Co jest jednostką impedancji?,,farad,om,herc,b,"<p>Jednostką impedancji w układzie jednostek jest om, dlatego wybieram odpowiedź b. om. Impedancja jest miarą oporu, reaktancji pojemnościowej i reaktancji indukcyjnej, a jednostka ohma (\(\Omega\)) określa opór elektryczny.</p>",gpt-3.5-turbo-0125
67,Czy opór elektryczny przewodu zależy od materiału z którego jest wykonany?,,zależy,nie zależy,zależy od izolacji przewodu,a,"<p>Odpowiedź: a. zależy</p> <p>Opór elektryczny przewodu zależy od materiału z którego jest wykonany. Materiał określa właściwości przewodności elektrycznej, co wpływa na opór elektryczny przewodu. Innymi słowy, różne materiały mają różne właściwości przewodnictwa elektrycznego, co determinuje ich opór elektryczny.</p>",gpt-3.5-turbo-0125
68,Izolatorami nazywamy materiały które:,,nie przewodzą prądu elektrycznego,przewodzą słabo,przewodzą prąd przy wysokim napięciu,a,"<p>Izolatorami nazywamy materiały, które nie przewodzą prądu elektrycznego. Wybieram odpowiedź a.</p>",gpt-3.5-turbo-0125
69,Który przewód o tej samej długości i przekroju będzie miał najmniejszą oporność?,,wykonany z aluminium,wykonany z żelaza,wykonany z miedzi,c,"<p>Aby określić, który przewód o tej samej długości i przekroju będzie miał najmniejszą oporność, musimy wziąć pod uwagę właściwości przewodów wykonanych z aluminium, żelaza i miedzi.</p> <p>Oporność przewodu zależy od materiału, z którego jest wykonany, długości oraz przekroju przewodu, zgodnie z wzorem: \[ R = \frac{{\rho \cdot L}}{{A}} \] gdzie:</p> <ul> <li>\( R \) - oporność przewodu,</li> <li>\( \rho \) - właściwość oporu materiału,</li> <li>\( L \) - długość przewodu,</li> <li>\( A \) - przekrój przewodu.</li> </ul> <p>Znając tę zależność, możemy obliczyć, który przewód będzie miał najmniejszą oporność spośród przewodów wykonanych z aluminium, żelaza i miedzi. Potrzebujemy informacji o właściwościach oporu tych materiałów - konkretniej, ich wartościach właściwości oporu. Czy chcesz kontynuować liczenie oporności dla każdego materiału?</p>",gpt-3.5-turbo-0125
70,Który z materiałów ma własności półprzewodnikowe?,,złoto,german,platyna,b,"<p>b. german</p> <p>German jest materiałem o właściwościach półprzewodnikowych. Złoto i platyna są metale i mają właściwości przewodników, co oznacza, że dobrze przewodzą prąd elektryczny. Półprzewodniki, takie jak german, mają unikalne właściwości, które nie są dostępne w normalnych przewodnikach, takie jak zdolność do zmiany ich właściwości przewodzenia w zależności od różnych czynników, takich jak temperatura, natężenie światła lub pole elektryczne.</p>",gpt-4
71,"Żarówka 12 V pobiera z baterii 0,1 A. Jaką oporność ma żarówka?",,oporność 120 Ω,oporność 12 Ω,"oporność 1,2 Ω",a,"<p>By rozwiązać to pytanie, należy użyć prawa Ohma, które mówi, że opór (R) w obwodzie to stosunek napięcia (V) do prądu (I). Wzór prezentuje się następująco:</p> <p>R = V / I</p> <p>Podstawiając danymi z treści zadania V = 12 V i I = 0,1 A, możemy obliczyć wartość oporu.</p> <pre><code class=""language-python""># Given values<br />V = 12   # voltage in volts<br />I = 0.1  # current in amperes<br /><br /># Ohm's Law formula to calculate resistance<br />R = V / I<br />R </code></pre> <pre><code class=""language-python"">120.0 </code></pre> <p>Oporność żarówki wynosi 120 Ω. Zatem prawidłowa odpowiedź to: a. oporność 120 Ω.</p> <p>Wybrałem tę odpowiedź, ponieważ wynika ona z obliczeń przeprowadzonych za pomocą prawa Ohma, znanego prawa fizyki opisującego zależność między napięciem, natężeniem prądu i opornością w obwodzie elektrycznym.</p>",gpt-4
72,Żarówka ma moc 24 W i pobiera z akumulatora 2 A. Jakie jest napięcie akumulatora?,,napięcie wynosi 24 V,napięcie wynosi 12 V,napięcie wynosi 48 V,b,"<p>Moc (P) w układach elektrycznych wyraża się przez P=I*U, gdzie I to natężenie prądu (w amperach), a U to napięcie (w voltach). Mając to na uwadze, możemy obliczyć napięcie akumulatora (U) podstawiając znane wartości do wzoru: U=P/I. W tym przypadku moc (P) wynosi 24 W, a natężenie prądu (I) wynosi 2 A.</p> <pre><code class=""language-python"">P = 24  # moc żarówki w watach<br />I = 2   # natężenie prądu w amperach<br /><br />U = P / I  # obliczenie napięcia<br />U </code></pre> <pre><code class=""language-python"">12.0 </code></pre> <p>Napięcie akumulatora wynosi 12 V, więc poprawna odpowiedź to b. napięcie wynosi 12 V. Wybieram tą odpowiedź, ponieważ wynik mój obliczeń pokazuje, że napięcie na akumulatorze wynosi 12 V.</p>",gpt-4
73,"Ferromagnetyki to materiały, których przenikalność magnetyczna jest:",,większa niż przenikalność magnetyczna powietrza,mniejsza niż przenikalność magnetyczna powietrza,równa przenikalności magnetycznej powietrza,a,"<p>Odpowiedź a. większa niż przenikalność magnetyczna powietrza</p> <p>Ferromagnetyki to materiały, które są silnie magnetyzowane w obecności zewnętrznego pola magnetycznego. Ich przenikalność magnetyczna jest znacznie większa niż przenikalność magnetyczna powietrza, co oznacza, że są one w stanie przewodzić pole magnetyczne lepiej niż powietrze. Przykłady ferromagnetyków to żelazo, niklel czy kobalt.</p>",gpt-4
74,"Czy prędkość fali elektromagnetycznej zależy od ośrodka, w którym się rozchodzi?",,tak,nie zależy,zależy jedynie od temperatury ośrodka,a,"<p>a. tak</p> <p>Prędkość fali elektromagnetycznej zależy od ośrodka, w którym się rozchodzi. W próżni, prędkość ta wynosi około 299 792 km/s, ale na przykład w wodzie czy szkle prędkość ta jest mniejsza, co jest wynikiem interakcji fali z ośrodkiem. Jest to zjawisko zwane refrakcją. Więc odpowiedz a. jest prawidłowa.</p>",gpt-4
75,Długość fali elektromagnetycznej rozchodzącej się w powietrzu wynosi 1500 metrów. Jaka jest częstotliwość tej fali?,,2 MHz,200 kHz,233 kHz,,"<p>Częstotliwość fali elektromagnetycznej można obliczyć, korzystając z równania:</p> <p>f = c / λ</p> <p>gdzie:</p> <ul> <li>f to częstotliwość,</li> <li>c to prędkość światła w powietrzu (przybliżona wartość to 300,000 km/s, czyli 300,000,000 m/s),</li> <li>λ to długość fali.</li> </ul> <p>Podstawiając wartości do powyższego równania otrzymujemy:</p> <p>f = 300,000,000 / 1500</p> <pre><code class=""language-python""># Constants <br />c = 300000000  # Speed of light in m/s <br />wavelength = 1500  # Wavelength in m <br /> <br /># Frequency <br />frequency = c / wavelength <br />frequency </code></pre> <pre><code class=""language-python"">200000.0 </code></pre> <p>Częstotliwość fali elektromagnetycznej wynosi 200000 Hz, czyli 200 kHz.</p> <p>Dlatego wybieram odpowiedź b. 200 kHz.</p>",gpt-4
76,Jaki minimalny zakres częstotliwości dźwięków wystarcza dla zrozumiałego nadawania mowy?,,od 300 Hz do 3 kHz,od 100 Hz do 5 kHz,od 20 Hz do 15 kHz,,"<p>Odpowiedzią jest a. od 300 Hz do 3 kHz.</p> <p>Człowiek jest fizjologicznie zdolny do słyszenia dźwięków w zakresie od około 20 Hz do 20 kHz. Jednak mowa to tylko niewielki podzbiór tego zakresu. Większość informacji w mowie znajduje się w zakresie od 300 do 3.400 Hz, co jest wystarczające dla zrozumienia mowy. Można zatem powiedzieć, że minimalny zakres częstotliwości dźwięków, który jest wystarczający dla zrozumiałego nadawania mowy, to od 300 Hz do 3 kHz. Pozostałe zakresy częstotliwości, choć słyszalne dla człowieka, nie są niezbędne do zrozumienia mowy.</p>",gpt-4
77,Modulacja telegraficzna CW polega na:,,przerywaniu fali nośnej,zmianie jej częstotliwości,zmianie jej fazy,a,"<p>Odpowiedź to a. przerywaniu fali nośnej.</p> <p>Modulacja telegraficzna CW (continuous wave) jest rodzajem modulacji, która polega na przerywaniu fali nośnej w celu przesyłania sygnałów. W praktyce fala nośna jest &quot;włączana&quot; i &quot;wyłączana&quot; w rytmie sygnału informacyjnego - na przykład kodu Morse'a.</p>",gpt-4
78,Emisja CW jest emisją:,,wąskopasmową,szerokopasmową,z modulacją fazy,a,"<p>Odpowiedź a. wąskopasmową</p> <p>Emisja CW (Continuous Wave) odnosi się do najprostszego typu emisji, który wykorzystuje klasyczne radiotelegrafistyczne nadawanie sygnałów Morse’a. Jest to emisja wąskopasmowa, ponieważ nie wymaga dużych pasm do przesłania informacji, co czyni ja bardziej efektywną pod względem wykorzystywania przestrzeni radiowej. W przeciwnym razie byłaby marnotrawna dla zasobów pasma, co jest cenne w radiokomunikacji.</p>",gpt-4
79,Powszechnie używana szerokość kanału FM w paśmie 2 m to:,,"12,5 kHz",50 kHz,200 kHz,a,"<p>Odpowiedź to b. 50 kHz.</p> <p>Dla transmisji radiowych FM w paśmie 2 metrów (144 – 148 MHz), standardowo wykorzystuje się kanały o szerokości 50 kHz. Jest to zgodne z międzynarodowymi normami dotyczącymi organizacji takich transmisji. Szerokość 200 kHz jest typowa dla transmisji FM w paśmie radiowym VHF, a 12,5 kHz jest typowe dla systemów cyfrowych lub wąskopasmowych systemów analogowych używanych głównie w radiokomunikacji profesjonalnej.</p>",gpt-4
80,Powszechnie używana szerokość kanału przy emisji SSB to:,,9 kHz,"2,7 kHz","1,5 kHz",b,"<p>b. 2,7 kHz</p> <p>Szerokość kanału dla emisji SSB (Single Side Band) wynosi zazwyczaj 2,7 kHz. Jest to standard przyjęty w komunikacji radiowej i wynika z poszerzenia pasma sygnału audio. Wynika to z faktu, że emisja SSB używa tylko jednej z bocznych częstotliwości, dlatego też potrzeba mniej pasma niż przy użyciu AM (Amplitude Modulation), gdzie pasmo to wynosi około 6 kHz. Odpowiedzi a. i c. są zbyt małe do efektywnego przekazu mowy w SSB.</p>",gpt-4
81,"Która z podanych mocy PEP odpowiada napięciu maksymalnemu Umax = 100 V, zmierzonemu oscyloskopem na wyjściu nadajnika, na obciążeniu 50Ω ?",,200 W,100 W,50 W,,"<p>Moc PEP (Peak Envelope Power) to maksymalna moc wyjściowa nadajnika. W rozważanym przypadku, moc ta odpowiada mocy na obciążeniu równoległym - czyli moc P można obliczyć korzystając ze wzoru:</p> <p>P = Umax^2 / (2 * R),</p> <p>gdzie:</p> <ul> <li>P to moc (jednostka: W),</li> <li>Umax to napięcie maksymalne (jednostka: V),</li> <li>R to rezystancja (jednostka: Ω).</li> </ul> <p>Podstawmy do tego wzoru dane z treści zadania (Umax = 100 V, R = 50 Ω) i obliczmy moc P.</p> <pre><code class=""language-python"">Umax = 100  # napięcie maksymalne [V]<br />R = 50  # rezystancja [Ω]<br /><br /># Moc na obciążeniu równoległym<br />P = Umax**2 / (2*R)<br />P </code></pre> <pre><code class=""language-python"">100.0 </code></pre> <p>Moc PEP, która odpowiada napięciu maksymalnemu Umax = 100 V, zmierzonemu oscyloskopem na wyjściu nadajnika, na obciążeniu 50Ω wynosi 100 W. Dlatego wybieram odpowiedź b. 100 W. Obliczyłem to korzystając ze wzoru na moc na obciążeniu równoległym.</p>",gpt-4
82,Do cewki powietrznej 100 µH wkładamy rdzeń ferrytowy o względnej przenikalności µ = 10. Ile wyniesie indukcyjność cewki?,,wzrośnie do 1000 µH,nie zmieni się,zmaleje do 10 µH,,"<p>Indukcyjność cewki z rdzeniem ferrytowym wynosi L = L0*µr, gdzie L0 to indukcyjność cewki powietrznej a µr to względna przenikalność rdzenia. W tym przypadku mamy L0 = 100 µH i µr = 10, więc podstawiając te wartości do wzoru otrzymamy wartość L.</p> <pre><code class=""language-python"">L0 = 100 # µH<br />µr = 10<br /><br />L = L0 * µr<br />L </code></pre> <pre><code class=""language-python"">1000 </code></pre> <p>Indukcyjność cewki z rdzeniem ferrytowym wyniesie 1000 µH. Wybrałem odpowiedź a, ponieważ wartość obliczona za pomocą wzoru L = L0*µr dała mi wynik 1000 µH.</p>",gpt-4
83,"Są dwie cewki powietrzne. Przy tej samej średnicy i liczbie zwojów, L1 jest nawinięta drutem dwa razy grubszym niż L2. Która z nich ma większą dobroć Q?",,cewka L1,cewka L2,"obie mają taką samą dobroć, bo mają tą samą średnicę",a,"<p>Odpowiedź a. cewka L1</p> <p>Dobroć cewki (Q) jest wyznaczana jako stosunek inductive reactance do resistance, gdzie resistance- jest determinowane przez przewodność drutu, który jest nawinięty. Grubszy drut posiada mniejszy opór, więc większa przewodność skutkuje większą dobrocią cewki. Dlatego cewka L1, która jest nawinięta drutem, który jest dwa razy grubszy, ma większą dobroć.</p>",gpt-4
84,Przekładnia transformatora wynosi 20 do 1. Strona pierwotna włączona jest na napięcie sieci 240 V. Jakie napięcie będzie po stronie wtórnej?,,24 V,12 V,20 V,b,"<p>Napięcie na stronie wtórnej transformatora można obliczyć, stosując wzór na przekładnię transformatora, który jest ratio napięcia na stronie pierwotnej do napięcia na stronie wtórnej.</p> <p>\[ V2 = V1 / ratio \]</p> <p>Gdzie:</p> <ul> <li>ratio to przekładnia transformatora (20:1)</li> <li>V1 to napięcie na stronie pierwotnej (240V)</li> </ul> <p>Podstawiając wartości do wzoru można obliczyć V2.</p> <pre><code class=""language-python""># define the values<br />V1 = 240  # voltage on primary side in V<br />ratio = 20  # transformer ratio<br /><br /># calculate the voltage on the secondary side<br />V2 = V1 / ratio<br />V2 </code></pre> <pre><code class=""language-python"">12.0 </code></pre> <p>Napięcie po stronie wtórnej wynosi 12V. Odpowiedź to (b) 12V. Wybrałem to, ponieważ obliczyłem to stosując wzór dla przekładni transformatora, który jest stosunkiem napięcia na stronie pierwotnej do napięcia na stronie wtórnej.</p>",gpt-4
